Year,Month,stp_code,Admissions,Admissions_cumulative
2020,Mar,QE1,38,38
2020,Mar,QF7,38,38
2020,Mar,QGH,23,23
2020,Mar,QH8,4,4
2020,Mar,QHG,9,9
2020,Mar,QHL,279,279
2020,Mar,QHM,92,92
2020,Mar,QJ2,43,43
2020,Mar,QJG,3,3
2020,Mar,QJK,61,61
2020,Mar,QJM,3,3
2020,Mar,QK1,0,0
2020,Mar,QKK,140,140
2020,Mar,QKS,28,28
2020,Mar,QM7,36,36
2020,Mar,QMF,129,129
2020,Mar,QMJ,267,267
2020,Mar,QMM,11,11
2020,Mar,QNC,70,70
2020,Mar,QNQ,7,7
2020,Mar,QNX,65,65
2020,Mar,QOC,0,0
2020,Mar,QOP,183,183
2020,Mar,QOQ,22,22
2020,Mar,QOX,15,15
2020,Mar,QPM,5,5
2020,Mar,QR1,48,48
2020,Mar,QRL,48,48
2020,Mar,QRV,607,607
2020,Mar,QSL,2,2
2020,Mar,QT1,88,88
2020,Mar,QT6,10,10
2020,Mar,QU9,56,56
2020,Mar,QUA,31,31
2020,Mar,QUE,27,27
2020,Mar,QUY,63,63
2020,Mar,QVV,3,3
2020,Mar,QWE,50,50
2020,Mar,QWO,74,74
2020,Mar,QWU,20,20
2020,Mar,QXU,14,14
2020,Mar,QYG,55,55
2020,Apr,QE1,259,297
2020,Apr,QF7,277,315
2020,Apr,QGH,100,123
2020,Apr,QH8,185,189
2020,Apr,QHG,51,60
2020,Apr,QHL,824,1103
2020,Apr,QHM,722,814
2020,Apr,QJ2,90,133
2020,Apr,QJG,27,30
2020,Apr,QJK,187,248
2020,Apr,QJM,37,40
2020,Apr,QK1,62,62
2020,Apr,QKK,307,447
2020,Apr,QKS,173,201
2020,Apr,QM7,68,104
2020,Apr,QMF,540,669
2020,Apr,QMJ,568,835
2020,Apr,QMM,105,116
2020,Apr,QNC,266,336
2020,Apr,QNQ,47,54
2020,Apr,QNX,148,213
2020,Apr,QOC,40,40
2020,Apr,QOP,1064,1247
2020,Apr,QOQ,256,278
2020,Apr,QOX,81,96
2020,Apr,QPM,118,123
2020,Apr,QR1,143,191
2020,Apr,QRL,276,324
2020,Apr,QRV,983,1590
2020,Apr,QSL,18,20
2020,Apr,QT1,312,400
2020,Apr,QT6,42,52
2020,Apr,QU9,265,321
2020,Apr,QUA,208,239
2020,Apr,QUE,196,223
2020,Apr,QUY,128,191
2020,Apr,QVV,89,92
2020,Apr,QWE,155,205
2020,Apr,QWO,210,284
2020,Apr,QWU,106,126
2020,Apr,QXU,52,66
2020,Apr,QYG,279,334
2020,May,QE1,258,555
2020,May,QF7,156,471
2020,May,QGH,95,218
2020,May,QH8,104,293
2020,May,QHG,117,177
2020,May,QHL,147,1250
2020,May,QHM,464,1278
2020,May,QJ2,240,373
2020,May,QJG,53,83
2020,May,QJK,82,330
2020,May,QJM,22,62
2020,May,QK1,66,128
2020,May,QKK,286,733
2020,May,QKS,185,386
2020,May,QM7,85,189
