Year,Month,stp_code,Deaths
2020,Mar,QE1,55
2020,Mar,QF7,43
2020,Mar,QGH,47
2020,Mar,QH8,96
2020,Mar,QHG,67
2020,Mar,QHL,170
2020,Mar,QHM,148
2020,Mar,QJ2,78
2020,Mar,QJG,44
2020,Mar,QJK,28
2020,Mar,QJM,12
2020,Mar,QK1,39
2020,Mar,QKK,274
2020,Mar,QKS,78
2020,Mar,QM7,102
2020,Mar,QMF,247
2020,Mar,QMJ,244
2020,Mar,QMM,33
2020,Mar,QNC,25
2020,Mar,QNQ,63
2020,Mar,QNX,53
2020,Mar,QOC,18
2020,Mar,QOP,203
2020,Mar,QOQ,31
2020,Mar,QOX,29
2020,Mar,QPM,28
2020,Mar,QR1,23
2020,Mar,QRL,114
2020,Mar,QRV,394
2020,Mar,QSL,9
2020,Mar,QT1,52
2020,Mar,QT6,19
2020,Mar,QU9,76
2020,Mar,QUA,241
2020,Mar,QUE,19
2020,Mar,QUY,30
2020,Mar,QVV,20
2020,Mar,QWE,237
2020,Mar,QWO,91
2020,Mar,QWU,80
2020,Mar,QXU,64
2020,Mar,QYG,122
2020,Apr,QE1,494
2020,Apr,QF7,465
2020,Apr,QGH,217
2020,Apr,QH8,478
2020,Apr,QHG,355
2020,Apr,QHL,656
2020,Apr,QHM,1050
2020,Apr,QJ2,405
2020,Apr,QJG,257
2020,Apr,QJK,124
2020,Apr,QJM,97
2020,Apr,QK1,217
2020,Apr,QKK,765
2020,Apr,QKS,518
2020,Apr,QM7,518
2020,Apr,QMF,845
2020,Apr,QMJ,729
2020,Apr,QMM,256
2020,Apr,QNC,181
2020,Apr,QNQ,235
2020,Apr,QNX,210
2020,Apr,QOC,82
2020,Apr,QOP,1238
2020,Apr,QOQ,339
2020,Apr,QOX,162
2020,Apr,QPM,249
2020,Apr,QR1,176
2020,Apr,QRL,403
2020,Apr,QRV,993
2020,Apr,QSL,44
2020,Apr,QT1,263
2020,Apr,QT6,61
2020,Apr,QU9,327
2020,Apr,QUA,705
2020,Apr,QUE,212
2020,Apr,QUY,144
2020,Apr,QVV,108
2020,Apr,QWE,672
2020,Apr,QWO,738
2020,Apr,QWU,315
2020,Apr,QXU,354
2020,Apr,QYG,1154
2020,May,QE1,212
2020,May,QF7,236
2020,May,QGH,75
2020,May,QH8,119
2020,May,QHG,117
2020,May,QHL,147
2020,May,QHM,326
2020,May,QJ2,134
2020,May,QJG,104
2020,May,QJK,26
2020,May,QJM,31
2020,May,QK1,133
2020,May,QKK,141
2020,May,QKS,227
2020,May,QM7,113
2020,May,QMF,132
2020,May,QMJ,69
2020,May,QMM,117
2020,May,QNC,117
2020,May,QNQ,67
2020,May,QNX,79
2020,May,QOC,67
2020,May,QOP,457
2020,May,QOQ,191
2020,May,QOX,48
2020,May,QPM,165
2020,May,QR1,29
2020,May,QRL,110
2020,May,QRV,131
2020,May,QSL,19
2020,May,QT1,68
2020,May,QT6,10
2020,May,QU9,93
2020,May,QUA,148
2020,May,QUE,123
2020,May,QUY,77
2020,May,QVV,24
2020,May,QWE,110
2020,May,QWO,244
2020,May,QWU,85
2020,May,QXU,100
2020,May,QYG,374
2020,Jun,QE1,85
2020,Jun,QF7,109
2020,Jun,QGH,20
2020,Jun,QH8,61
2020,Jun,QHG,57
2020,Jun,QHL,36
2020,Jun,QHM,78
2020,Jun,QJ2,48
2020,Jun,QJG,24
2020,Jun,QJK,9
2020,Jun,QJM,4
2020,Jun,QK1,47
2020,Jun,QKK,23
2020,Jun,QKS,147
2020,Jun,QM7,16
2020,Jun,QMF,32
2020,Jun,QMJ,7
2020,Jun,QMM,12
2020,Jun,QNC,41
2020,Jun,QNQ,18
2020,Jun,QNX,24
2020,Jun,QOC,17
2020,Jun,QOP,184
2020,Jun,QOQ,54
2020,Jun,QOX,8
2020,Jun,QPM,83
2020,Jun,QR1,3
2020,Jun,QRL,16
2020,Jun,QRV,30
2020,Jun,QSL,3
2020,Jun,QT1,24
2020,Jun,QT6,1
2020,Jun,QU9,23
2020,Jun,QUA,59
2020,Jun,QUE,26
2020,Jun,QUY,19
2020,Jun,QVV,3
2020,Jun,QWE,16
2020,Jun,QWO,76
2020,Jun,QWU,44
2020,Jun,QXU,20
2020,Jun,QYG,156
2020,Jul,QE1,16
2020,Jul,QF7,23
2020,Jul,QGH,5
2020,Jul,QH8,17
2020,Jul,QHG,15
2020,Jul,QHL,11
2020,Jul,QHM,12
2020,Jul,QJ2,13
2020,Jul,QJG,8
2020,Jul,QJK,0
2020,Jul,QJM,4
2020,Jul,QK1,27
2020,Jul,QKK,9
2020,Jul,QKS,78
2020,Jul,QM7,9
2020,Jul,QMF,11
2020,Jul,QMJ,1
2020,Jul,QMM,1
2020,Jul,QNC,8
2020,Jul,QNQ,2
2020,Jul,QNX,13
2020,Jul,QOC,5
2020,Jul,QOP,65
2020,Jul,QOQ,7
2020,Jul,QOX,2
2020,Jul,QPM,19
2020,Jul,QR1,1
2020,Jul,QRL,2
2020,Jul,QRV,10
