Year,Month,Provider Parent Org Code,Provider Parent Name,Treatment Function Name,Total waiting > 52 weeks,Total waiting > 18 weeks
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Cardiology,1,1154
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Cardiothoracic Surgery,3,321
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Dermatology,1,1516
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,"Ear, Nose & Throat (ENT)",40,3273
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Gastroenterology,4,1482
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,General Medicine,6,937
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,General Surgery,160,6063
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Geriatric Medicine,0,33
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Gynaecology,34,1899
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Neurology,6,2645
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Neurosurgery,10,946
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Ophthalmology,14,6302
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Oral Surgery,58,5300
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Other,23,3715
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Plastic Surgery,46,1268
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Rheumatology,0,175
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Thoracic Medicine,0,263
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Total,555,47435
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Trauma & Orthopaedics,130,7831
2020,Apr,QE1,HEALTHIER LANCASHIRE AND SOUTH CUMBRIA,Urology,19,2312
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Cardiology,0,1003
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Cardiothoracic Surgery,0,53
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Dermatology,0,600
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,"Ear, Nose & Throat (ENT)",5,1690
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Gastroenterology,0,173
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,General Medicine,0,238
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,General Surgery,8,1875
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Geriatric Medicine,0,52
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Gynaecology,0,1401
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Neurology,0,1193
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Neurosurgery,0,473
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Ophthalmology,2,2208
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Oral Surgery,6,2120
2020,Apr,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,Other,13,6801
