Year,Month,hb19_code,Specialty,Total waiting < 18 weeks,Total waiting > 18 weeks
2011,Jan,S08000015,All Specialties,4299,1670
2011,Feb,S08000015,All Specialties,4742,1686
2011,Mar,S08000015,All Specialties,5760,1566
2011,Apr,S08000015,All Specialties,3978,936
2011,May,S08000015,All Specialties,4850,957
2011,Jun,S08000015,All Specialties,5470,884
2011,Jul,S08000015,All Specialties,4864,837
2011,Aug,S08000015,All Specialties,6555,829
2011,Sep,S08000015,All Specialties,5702,749
2011,Oct,S08000015,All Specialties,5498,802
2011,Nov,S08000015,All Specialties,6098,822
2011,Dec,S08000015,All Specialties,5753,556
2012,Jan,S08000015,All Specialties,6362,566
2012,Feb,S08000015,All Specialties,6660,525
2012,Mar,S08000015,All Specialties,6483,548
2012,Apr,S08000015,All Specialties,5460,450
2012,May,S08000015,All Specialties,6811,486
2012,Jun,S08000015,All Specialties,6088,525
2012,Jul,S08000015,All Specialties,5880,545
2012,Aug,S08000015,All Specialties,6473,690
2012,Sep,S08000015,All Specialties,5673,661
2012,Oct,S08000015,All Specialties,6671,680
2012,Nov,S08000015,All Specialties,6555,726
2012,Dec,S08000015,All Specialties,5569,496
2013,Jan,S08000015,All Specialties,6649,628
2013,Feb,S08000015,All Specialties,6397,665
2013,Mar,S08000015,All Specialties,6052,518
2013,Apr,S08000015,All Specialties,6000,523
2013,May,S08000015,All Specialties,6288,483
2013,Jun,S08000015,All Specialties,5973,455
2013,Jul,S08000015,All Specialties,6091,488
2013,Aug,S08000015,All Specialties,6468,535
2013,Sep,S08000015,All Specialties,5961,507
2013,Oct,S08000015,All Specialties,6892,582
2013,Nov,S08000015,All Specialties,6253,612
2013,Dec,S08000015,All Specialties,5691,438
2014,Jan,S08000015,All Specialties,6289,673
2014,Feb,S08000015,All Specialties,5858,622
2014,Mar,S08000015,All Specialties,6151,645
2014,Apr,S08000015,All Specialties,5890,562
2014,May,S08000015,All Specialties,6251,561
2014,Jun,S08000015,All Specialties,7094,626
2014,Jul,S08000015,All Specialties,6389,710
2014,Aug,S08000015,All Specialties,5841,934
2014,Sep,S08000015,All Specialties,6389,1040
2014,Oct,S08000015,All Specialties,6652,1142
2014,Nov,S08000015,All Specialties,5787,1335
2014,Dec,S08000015,All Specialties,5444,1132
2015,Jan,S08000015,All Specialties,5689,1606
2015,Feb,S08000015,All Specialties,5370,1535
2015,Mar,S08000015,All Specialties,6284,1732
2015,Apr,S08000015,All Specialties,5279,1391
2015,May,S08000015,All Specialties,5774,1237
