"","All ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","All "
"","Up to 26 weeks ",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Up to 26 weeks ","26 to 36 weeks ",".",".",".",".",".",".",".",".",".","26 to 36 weeks ","Over 36 weeks ",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","Over 36 weeks ","."
"","Over 0 weeks and up to 1 week ","Over 1 week and up to 2 weeks ","Over 2 weeks and up to 3 weeks ","Over 3 weeks and up to 4 weeks ","Over 4 weeks and up to 5 weeks ","Over 5 weeks and up to 6 weeks ","Over 6 weeks and up to 7 weeks ","Over 7 weeks and up to 8 weeks ","Over 8 weeks and up to 9 weeks ","Over 9 weeks and up to 10 weeks ","Over 10 weeks and up to 11 weeks ","Over 11 weeks and up to 12 weeks ","Over 12 weeks and up to 13 weeks ","Over 13 weeks and up to 14 weeks ","Over 14 weeks and up to 15 weeks ","Over 15 weeks and up to 16 weeks ","Over 16 weeks and up to 17 weeks ","Over 17 weeks and up to 18 weeks ","Over 18 weeks and up to 19 weeks ","Over 19 weeks and up to 20 weeks ","Over 20 weeks and up to 21 weeks ","Over 21 weeks and up to 22 weeks ","Over 22 weeks and up to 23 weeks ","Over 23 weeks and up to 24 weeks ","Over 24 weeks and up to 25 weeks ","Over 25 weeks and up to 26 weeks ",".","Over 26 weeks and up to 27 weeks ","Over 27 weeks and up to 28 weeks ","Over 28 weeks and up to 29 weeks ","Over 29 weeks and up to 30 weeks ","Over 30 weeks and up to 31 weeks ","Over 31 weeks and up to 32 weeks ","Over 32 weeks and up to 33 weeks ","Over 33 weeks and up to 34 weeks ","Over 34 weeks and up to 35 weeks ","Over 35 weeks and up to 36 weeks ",".","Over 36 weeks and up to 37 weeks ","Over 37 weeks and up to 38 weeks ","Over 38 weeks and up to 39 weeks ","Over 39 weeks and up to 40 weeks ","Over 40 weeks and up to 41 weeks ","Over 41 weeks and up to 45 weeks ","Over 45 weeks and up to 49 weeks ","Over 49 weeks and up to 53 weeks ","Over 53 weeks and up to 57 weeks ","Over 57 weeks and up to 61 weeks ","Over 61 weeks and up to 65 weeks ","Over 65 weeks and up to 69 weeks ","Over 69 weeks and up to 73 weeks ","Over 73 weeks and up to 77 weeks ","Over 77 weeks and up to 81 weeks ","Over 81 weeks and up to 85 weeks ","Over 85 weeks and up to 89 weeks ","Over 89 weeks and up to 93 weeks ","Over 93 weeks and up to 97 weeks ","Over 97 weeks and up to 101 weeks ","Over 101 weeks and up to 105 weeks ","Over 105 weeks ",".","."
"Sep-2011 ",33452,29135,26300,24017,16605,19819,18199,17283,15532,14451,14093,12829,12376,11555,11087,10471,9860,7559,9105,9069,8225,4628,4244,7072,6150,6050,359166,4271,3816,3595,3335,2601,2171,1889,1617,1422,1150,25867,654,550,395,245,385,1639,1108,762,620,371,278,202,126,56,17,12,7,5,".",1,".",1,7434,392467
"Oct-2011 ",32981,29899,26909,25015,21843,20089,17533,16828,11450,13552,12973,12318,11570,10939,10475,10128,9620,9016,9093,8416,8038,5824,7097,6607,6237,4165,358615,2449,3313,3642,3177,2640,2242,1875,1777,1473,1125,23713,659,651,590,478,454,1078,1106,762,508,432,269,192,149,80,36,10,6,3,4,2,".",".",7469,389797
"Nov-2011 ",33075,30006,26996,24031,20691,19772,18659,17005,15205,14195,13062,11935,10401,8611,10192,9537,9279,8644,8231,8083,7654,7004,6761,6363,5728,4899,356019,3548,3751,3577,2723,1597,1735,2046,1751,1490,1111,23329,576,615,561,579,458,1541,754,758,568,373,333,181,144,98,52,20,5,4,4,3,2,".",7629,386977
"Dec-2011 (1)",17979,27848,26618,25842,21704,21239,19700,17735,15944,14212,14545,13182,11728,11033,10452,9838,9393,7140,8246,7976,7710,7198,6593,6333,5726,5084,350998,4217,4032,3556,2802,2167,2487,2102,1860,1283,688,25194,516,569,509,482,491,1576,1084,559,533,443,286,260,143,105,72,45,11,3,3,3,4,2,7699,383891
"Jan-2012 (1)",36967,29596,26334,21521,12068,15387,17853,17072,14919,14579,13996,12796,11666,10259,10758,10408,9745,8825,8395,7712,7265,6699,5213,6175,5613,4895,346716,3842,3402,3023,2414,2093,2147,1815,1535,1372,817,22460,524,517,426,238,248,1355,998,662,362,289,286,190,152,104,75,57,27,10,8,5,3,7,6543,375719
"Feb-2012 (1)",36687,28391,27172,25009,22595,19760,17912,15061,10084,9026,12962,12231,11024,10827,10603,10249,9551,8436,8493,8342,7784,6836,6168,5862,5343,4423,350831,3219,3547,3129,2616,2145,1828,1454,1238,1051,765,20992,384,337,338,267,258,804,716,508,350,209,147,155,111,85,64,42,37,20,11,4,4,12,4863,376686
"Mar-2012 ",29080,30589,27959,25968,23463,20590,18581,18654,17167,15386,14307,12854,8294,4922,10527,10294,10660,8997,9218,9033,8409,7481,6442,6617,6005,5492,366989,3762,3191,2807,2757,1879,1997,1542,1473,1264,953,21625,105,105,97,70,85,275,211,186,138,88,52,37,35,38,25,23,10,15,10,5,1,3,1614,390228
"Apr-2012 ",36718,28363,22374,21637,23044,22393,20087,18851,16971,15121,14117,14331,13518,12074,11342,10340,6839,4208,8789,8492,8822,7248,7262,6888,6253,5397,371479,3627,3616,3237,2916,2388,2018,1708,1585,1074,1042,23211,251,211,196,139,90,313,213,153,138,109,69,48,30,29,33,19,22,8,12,7,3,8,2101,396791
"May-2012 ",35036,30321,28895,20893,23820,21004,18232,11448,17214,16010,14625,14270,13066,12239,10899,11061,10661,10193,9229,8734,7456,4660,3686,6411,5992,5941,371996,3784,3745,3346,3145,2397,2149,1761,1558,1296,1015,24196,234,211,202,135,145,414,246,162,124,103,80,57,39,24,23,19,14,14,11,7,4,9,2277,398469
"Jun-2012 ",29233,29913,28177,15119,24343,22114,21393,15613,18415,16661,14185,11184,11599,12614,12052,11599,10958,10574,9379,8742,9225,8540,7479,6934,6017,3833,375895,1931,3850,3736,3620,2777,2587,2167,1887,1598,1224,25377,391,319,245,218,133,478,284,189,131,99,75,56,44,34,20,19,15,11,12,10,8,12,2803,404075
"Jul-2012 ",31351,28964,27538,24317,22369,21032,19159,14083,13706,16212,15586,14653,10882,12658,11287,10951,6986,10135,9867,9282,8939,8194,7640,6675,6713,6086,375265,4958,4035,3515,2736,1246,1728,1959,1824,1535,1281,24817,441,336,295,209,200,548,329,203,154,93,70,43,38,31,26,15,14,13,10,9,8,18,3103,403185
