Year,Month,Total waiting > 52 weeks,Total waiting > 18 weeks
2019,Jan,4258,532993
2019,Feb,4057,539186
2019,Mar,3428,548462
2019,Apr,3421,557282
2019,May,3695,562044
2019,Jun,3641,570134
2019,Jul,3835,575742
2019,Aug,4193,585947
2019,Sep,4311,587885
2019,Oct,4778,585666
2019,Nov,5340,582324
2019,Dec,6221,581414
2020,Jan,6449,579672
2020,Feb,6722,581352
2020,Mar,7557,586870
2020,May,14052,616531
2020,Jun,18499,653028
2020,Aug,39399,675730
2020,Sep,55178,660483
2020,Oct,76230,623482
2020,Nov,94429,597223
2020,Dec,115707,620858
2021,Jan,134875,638188
2021,Feb,157619,657024
2021,Mar,177067,681729
2021,Apr,174094,714104
2021,May,169841,716911
2021,Jun,166359,732524
2021,Jul,167586,756252
2021,Aug,170524,775332
2021,Sep,172918,802724
2021,Oct,175416,821190
2021,Nov,173635,825445
2021,Dec,173053,831459
2022,Jan,170238,832342
2022,Feb,168521,832759
2022,Mar,168502,842337
2022,Apr,171409,849183
